gnome,repo,Gnome desktop environment
sof-firmware,repo,Firmware for audio chips
alsa-ucm-conf,repo,General configuration for audio chips
bluez,repo,Bluetooth Software
bluez-utils,repo,Bluetooth tools
blueman,repo,Graphical tools for bluetooth
vlc,repo,Media Player
firefox,repo,Browser
alacritty,repo,Terminal emulator
libreoffice-still,repo,Office suite
tmux,repo,Multiplexer program
neovim,repo,Terminal text editor
npm,repo,NodeJS used in neovim
ripgrep,repo,Tool used in neovim
fd,repo,Tool used in neovim
python-neovim,repo,Tool used in neovim
ttf-jetbrains-mono,repo,Font
ttf-jetbrains-mono-nerd,repo,Nerd font
